code,schemeType,fundType,schemeCategory,plan,schemeMin,sip,investmentObjective,aum,risk,fundManager,schemeName,returnsInception,returnsYear1,returnsYear3,returnsYear5,returnsYear10,ISIN,expenseRatio,taxPeriod,navCode
DS711-GR,Open Ended,Debt,Debt - Bonds,GROWTH,500,Y,To generate income commensurate with prudent risk from a portfolio constituting of money market securities floating rate debt securities and debt securities.,34030,1.27747,Laukik Bagwe; Saurabh Bhatia,DSP Short Term Growth Direct Plan,8.737,9.6622,7.9874,8.2969,9.19,INF740K01NJ5,1.22,1095,119226
DS712-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,500,Y,To generate income commensurate with prudent risk from a portfolio constituting of money market securities floating rate debt securities and debt securities.,34030,7.03237,Laukik Bagwe; Saurabh Bhatia,DSP Short Term Dividend Payout Direct Plan,7.4252,7.4058,5.5391,7.8713,4.85,INF740K01NK3,1.22,1095,119222
DSTG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,1.18823,Suyash Choudhary,IDFC Bond Short Term Growth Direct Plan,8.7028,9.5311,8.0542,8.2878,0.09,INF194K01U07,1.22,1095,118407
IDDSTD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,2.96032,Suyash Choudhary,IDFC Bond Short Term Monthly Dividend Reinvest Direct Plan,5.6817,1.3467,3.9868,4.806,3.41,INF194K01U15,1.22,1095,118406
IDDSTD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,2.96032,Suyash Choudhary,IDFC Bond Short Term Monthly Dividend Payout Direct Plan,5.6817,1.3467,3.9868,4.806,2.94,INF194K01U23,0.99,1095,118406
IDDSTDP-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,2.96032,Suyash Choudhary,IDFC Bond Short Term Monthly Dividend Reinvest Direct Plan,5.6817,1.3467,3.9868,4.806,6.66,INF194K01U23,0.99,1095,118406
IDDSTF-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND FORTNIGHTLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,2.30221,Suyash Choudhary,IDFC Bond Short Term Fortnightly Dividend Reinvest Direct Plan,5.6969,1.8721,4.1498,4.9301,7.32,INF194K01U49,0.28,1095,118405
IDDSTF-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND FORTNIGHTLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over short term such that the Macaulay duration of the portfolio is between 1 year and 3 years.,123400,2.30221,Suyash Choudhary,IDFC Bond Short Term Fortnightly Dividend Payout Direct Plan,5.6969,1.8721,4.1498,4.9301,8.15,INF194K01U56,0.28,1095,118405
D51-GR,Open Ended,Others,Debt - Bonds,GROWTH,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,1.05293,Harshal Joshi,IDFC All Seasons Bond Growth Direct Plan,8.7777,10.1671,7.995,8.3491,5.52,INF194K01U72,0.28,1095,118410
IDD54-DR,Open Ended,Others,Debt - Bonds,DIVIDEND ANNUAL,5000,N,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,1.52334,Harshal Joshi,IDFC All Seasons Bond Annual Dividend Reinvest Direct Plan,0,0,0,0,9.79,INF194K01U80,0.28,1095,118408
IDD54-DP,Open Ended,Others,Debt - Bonds,DIVIDEND ANNUAL,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,1.52334,Harshal Joshi,IDFC All Seasons Bond Annual Dividend Payout Direct Plan,0,0,0,0,11.78,INF194K01U98,0.28,1095,118408
IDD54P-DR,Open Ended,Others,Debt - Bonds,DIVIDEND ANNUAL,5000,Y,To generate optimal returns with high liquidity by active management of the portfolio; by investing predominantly in debt oriented mutual fund schemes and money market instruments.,1500,1.52334,Harshal Joshi,IDFC All Seasons Bond Annual Dividend Reinvest Direct Plan,0,0,0,0,7.09,INF194K01U98,0.28,1095,118408
EDATMR-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,N,To generate income by predominantly investing in arbitrage opportunities in the cash and the derivative segments of the equity markets and the arbitrage opportunities available within the derivative segment and by investing the balance in debt and money market instruments.,39550,2.16287,Dhawal Dalal; Bhavesh Jain,Edelweiss Arbitrage Monthly Dividend Payout Direct Plan,0.6318,1.3146,0,0,5.32,INF754K01HW1,0.1,1095,141606
EDATMR-DR,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,N,To generate income by predominantly investing in arbitrage opportunities in the cash and the derivative segments of the equity markets and the arbitrage opportunities available within the derivative segment and by investing the balance in debt and money market instruments.,39550,2.16287,Dhawal Dalal; Bhavesh Jain,Edelweiss Arbitrage Monthly Dividend Reinvest Direct Plan,0.6318,1.3146,0,0,8.37,INF754K01HX9,0.1,1095,141606
EDARMD-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,To generate absolute returns with low volatility over a longer tenure of time. The scheme will invest inarbitrage opportunities; equity derivative strategies; pure equity investments and the balance in debt and money market instruments.The Scheme proposes to allocate assets to both equity and debt markets based upon the market view.,14280,8.47566,Gautam Kaul; Bhavesh Jain; Bharat Lahoti,Edelweiss Balanced Advantage Monthly Dividend Payout Direct Plan,0,-7.5001,0,0,11.35,INF754K01IH0,0.1,1095,141767
EDARMD-DR,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,To generate absolute returns with low volatility over a longer tenure of time. The scheme will invest inarbitrage opportunities; equity derivative strategies; pure equity investments and the balance in debt and money market instruments.The Scheme proposes to allocate assets to both equity and debt markets based upon the market view.,14280,8.47566,Gautam Kaul; Bhavesh Jain; Bharat Lahoti,Edelweiss Balanced Advantage Monthly Dividend Reinvest Direct Plan,0,-7.5001,0,0,9.72,INF754K01II8,0.1,1095,141767
EDEIMD-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,To provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,1140,4.53095,Bhavesh Jain; Hardik Verma,Edelweiss Equity Saving Monthly Dividend Payout Direct Plan,2.8203,-3.4609,0,0,7.54,INF754K01IN8,0.35,365,141933
EDEIMD-DR,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,To provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities; and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,1140,4.53095,Bhavesh Jain; Hardik Verma,Edelweiss Equity Saving Monthly Dividend Reinvest Direct Plan,2.8203,-3.4609,0,0,6.33,INF754K01IO6,0.35,365,141933
CACFDD-DP,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide long-term capital appreciation by primarily investing in equity and equity related securities of companies which directly or indirectly benefit from the growing consumer demand in India. However; there can be no assurance that the investment objective of the scheme will be realized.,3920,15.6061,Shridatta Bhandwaldar; Cheenu Gupta,Canara Robeco Consumer Trends Dividend Payout Direct Plan,12.1292,-7.0996,7.1516,7.3692,10.17,INF760K01DS5,0.58,365,118274
CACFDD-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide long-term capital appreciation by primarily investing in equity and equity related securities of companies which directly or indirectly benefit from the growing consumer demand in India. However; there can be no assurance that the investment objective of the scheme will be realized.,3920,15.6061,Shridatta Bhandwaldar; Cheenu Gupta,Canara Robeco Consumer Trends Directdividend Dividend Reinvest Direct Plan,12.1292,-7.0996,7.1516,7.3692,2.48,INF760K01DT3,0.58,365,118274
CACFDG-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To provide long-term capital appreciation by primarily investing in equity and equity related securities of companies which directly or indirectly benefit from the growing consumer demand in India. However; there can be no assurance that the investment objective of the scheme will be realized.,3920,15.4089,Shridatta Bhandwaldar; Cheenu Gupta,Canara Robeco Consumer Trends Directgrowth Growth Direct Plan,13.2481,-0.6592,9.6002,8.9026,7.69,INF760K01DU1,0.74,365,118273
CACYDM-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,To generate returns by investing in a wide range of debt securities and money market instruments of various maturities and risk profile. However; there is no assurance that the objective of the Fund will be realised.,5760,1.67168,Suman Prasad,Canara Robeco Short Duration Monthly Dividend Payout Direct Plan,6.8542,6.9975,5.5062,6.4905,6.89,INF760K01DV9,0.74,365,118321
DS768-DR,Open Ended,Equity,Equity,AS N WHEN,500,Y,To generate long term capital appreciation; from a portfolio that is substantially constituted of equity securities and equity related securities of issuers domiciled in India.,35220,19.2266,Atul Bhole,DSP Equity Dividend Reinvest Direct Plan,13.0263,-0.1429,11.0121,8.382,4.65,INF740K01PJ0,1.23,365,119077
DS770-GR,Open Ended,Equity,Equity,GROWTH,500,Y,To generate long-term capital appreciation; and the secondary objective is income generation and distribution of dividend; from a portfolio constituted of equity and equity-related securities; conentrating on the investment focus of the scheme.,52790,15.2275,Rohit Singhania; Jay Kothari,DSP Equity Opportunities Growth Direct Plan,12.1387,-8.4539,3.4953,6.5114,11.71,INF740K01PL6,1.23,365,119218
DS771-DP,Open Ended,Equity,Equity,AS N WHEN,500,Y,To generate long-term capital appreciation; and the secondary objective is income generation and distribution of dividend; from a portfolio constituted of equity and equity-related securities; conentrating on the investment focus of the scheme.,52790,15.8578,Rohit Singhania; Jay Kothari,DSP Equity Opportunities Dividend Payout Direct Plan,11.5598,-8.4537,3.4956,6.5117,4.94,INF740K01PM4,1.23,365,119219
DS771-DR,Open Ended,Equity,Equity,AS N WHEN,500,Y,To generate long-term capital appreciation; and the secondary objective is income generation and distribution of dividend; from a portfolio constituted of equity and equity-related securities; conentrating on the investment focus of the scheme.,52790,15.8578,Rohit Singhania; Jay Kothari,DSP Equity Opportunities Dividend Reinvest Direct Plan,11.5598,-8.4537,3.4956,6.5117,11.7,INF740K01PM4,0.32,1095,119219
DS776-GR,Open Ended,Equity,Equity,GROWTH,500,Y,The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of large cap companies. From time to time; the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction.,24690,16.2748,Gopal Agrawal; Jay Kothari,DSP Top 100 Equity Growth Direct Plan,7.388,-10.101,1.9203,2.1918,9.19,INF740K01PR3,2.11,365,119250
DS777-DP,Open Ended,Equity,Equity,AS N WHEN,500,Y,The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of large cap companies. From time to time; the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction.,24690,19.29,Gopal Agrawal; Jay Kothari,DSP Top 100 Equity Dividend Payout Direct Plan,8.2564,-11.2704,4.6312,3.8164,3.16,INF740K01PS1,1.08,365,119249
DS777-DR,Open Ended,Equity,Equity,AS N WHEN,500,Y,The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of large cap companies. From time to time; the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction.,24690,19.29,Gopal Agrawal; Jay Kothari,DSP Top 100 Equity Dividend Reinvest Direct Plan,8.2564,-11.2704,4.6312,3.8164,1.73,INF740K01PS1,1.08,365,119249
DS779-GR,Open Ended,Equity,Equity,GROWTH,500,Y,An open ended fund seeking to generate capital appreciation; from a portfolio that is substantially constituted of equity securities and equity related securities of corporates; which could benefit from structural changes brought about by continuing liberalization in economic policies by the Govt. and or from continuing investments in infrastructure; both by the public and private sector.,9410,18.0246,Rohit Singhania; Jay Kothari,DSP India T.i.g.e.r. Growth Direct Plan,6.8812,-18.6588,-2.1432,0.4315,2.32,INF740K01PU7,1.08,365,119247
DS780-DP,Open Ended,Equity,Equity,AS N WHEN,500,Y,An open ended fund seeking to generate capital appreciation; from a portfolio that is substantially constituted of equity securities and equity related securities of corporates; which could benefit from structural changes brought about by continuing liberalization in economic policies by the Govt. and or from continuing investments in infrastructure; both by the public and private sector.,9410,19.5422,Rohit Singhania; Jay Kothari,DSP India T.i.g.e.r. Dividend Payout Direct Plan,6.2876,-19.7049,-2.9947,-0.094,2.34,INF740K01PV5,2.22,365,119248
DS780-DR,Open Ended,Equity,Equity,AS N WHEN,500,Y,An open ended fund seeking to generate capital appreciation; from a portfolio that is substantially constituted of equity securities and equity related securities of corporates; which could benefit from structural changes brought about by continuing liberalization in economic policies by the Govt. and or from continuing investments in infrastructure; both by the public and private sector.,9410,19.5422,Rohit Singhania; Jay Kothari,DSP India T.i.g.e.r. Dividend Reinvest Direct Plan,6.2876,-19.7049,-2.9947,-0.094,3.05,INF740K01PV5,2.22,365,119248
PRMAD1-GR,Open Ended,Hybrid,Equity,GROWTH,5000,Y,The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,350,4.72488,Kumaresh Ramakrishnan; Alok Agarwal,PGIM India Equity Saving Growth Direct Plan,8.217,0.2962,4.8599,6.3016,11.28,INF223J01QD0,2.22,365,138376
PRMAD2-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,350,5.16719,Kumaresh Ramakrishnan; Alok Agarwal,PGIM India Equity Saving Monthly Dividend Payout Direct Plan,0,-0.6587,4.0616,0,9.74,INF223J01QE8,1.62,365,138377
PRMAD2-DR,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,350,5.16719,Kumaresh Ramakrishnan; Alok Agarwal,PGIM India Equity Saving Monthly Dividend Reinvest Direct Plan,0,-0.6587,4.0616,0,6.19,INF223J01QF5,1.62,365,138377
PRMAD3-DP,Open Ended,Hybrid,Equity,DIVIDEND QUARTERLY,5000,Y,The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,350,5.81275,Kumaresh Ramakrishnan; Alok Agarwal,PGIM India Equity Saving Quarterly Dividend Payout Direct Plan,3.4769,-0.6995,4.0616,0,5.16,INF223J01QG3,1.62,365,138378
PRMAD3-DR,Open Ended,Hybrid,Equity,DIVIDEND QUARTERLY,5000,Y,The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments; arbitrage opportunities and investments in debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.,350,5.81275,Kumaresh Ramakrishnan; Alok Agarwal,PGIM India Equity Saving Quarterly Dividend Reinvest Direct Plan,3.4769,-0.6995,4.0616,0,8.77,INF223J01QH1,1.05,365,138378
PR2FD7-DP,Open Ended,Liquid & Ultra Short,Debt - Bonds,Dividend Corporate,5000,N,To provide liquidity and seek to generate returns by investing in a mix of short term debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns.,24040,2.30431,Kumaresh Ramakrishnan,PGIM India Ultra Short Term Annual Dividend Payout Direct Plan,0,0,0,0,11.38,INF223J01QI9,1.05,365,138360
PR2FD7-DR,Open Ended,Liquid & Ultra Short,Debt - Bonds,Dividend Corporate,5000,N,To provide liquidity and seek to generate returns by investing in a mix of short term debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns.,24040,2.30431,Kumaresh Ramakrishnan,PGIM India Ultra Short Term Annual Dividend Reinvest Direct Plan,0,0,0,0,1.47,INF223J01QJ7,1.05,365,138360
PR2FD2-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,5000,Y,To provide liquidity and seek to generate returns by investing in a mix of short term debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns.,1420,0.719723,Kumaresh Ramakrishnan; Kunal Jain,PGIM India Ultra Short Term Daily Dividend Reinvest Direct Plan,6.7818,9.115,6.5713,6.3827,6.51,INF223J01QL3,1.05,365,138361
PR2FD3-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,N,To provide liquidity and seek to generate returns by investing in a mix of short term debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns.,500,0.896083,Kumaresh Ramakrishnan; Kunal Jain,PGIM India Ultra Short Term Dividend Payout Direct Plan,0,0,0,0,3.63,INF223J01QM1,1.05,365,138357
PR2FD3-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,N,To provide liquidity and seek to generate returns by investing in a mix of short term debt and money market instruments. However; there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns.,500,0.896083,Kumaresh Ramakrishnan; Kunal Jain,PGIM India Ultra Short Term Dividend Reinvest Direct Plan,0,0,0,0,0.58,INF223J01QN9,0,1095,138357
TAIABZ-DP,Open Ended,Debt,Debt - Bonds,Bonus,5000,N,The investment objective of the scheme is to generate income and capital appreciation over a medium term.,960,4.77874,Murthy Nagarajan,Tata Medium Term Dividend Payout Direct Plan,5.8595,6.1264,5.769,0,6.36,INF277K01PH7,0,1095,119126
TAIABZ-DR,Open Ended,Debt,Debt - Bonds,Bonus,5000,Y,The investment objective of the scheme is to generate income and capital appreciation over a medium term.,960,4.77874,Murthy Nagarajan,Tata Medium Term Dividend Reinvest Direct Plan,5.8595,6.1264,5.769,0,10.61,INF277K01PH7,0.26,1095,119126
TAIAGZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The investment objective of the scheme is to generate income and capital appreciation over a medium term.,490,3.52857,Murthy Nagarajan; Abhishek,Tata Medium Term Growth Direct Plan,6.1336,-7.5386,1.6161,4.4263,1.99,INF277K01PI5,0.33,1095,119127
TAINFDZ-DP,Open Ended,Equity,Equity,AS N WHEN,5000,N,To provide income distribution and or medium to long term capital gains by investing predominantly in equity; equity related instrument of companies in infrastructure sector.,4690,17.0446,Abhinav Sharma; Rupesh Patel,Tata Infrastructure Dividend Payout Direct Plan,6.5726,-15.9639,-1.4602,0.6423,7.54,INF277K01PP0,0.33,1095,119244
TAINFDZ-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide income distribution and or medium to long term capital gains by investing predominantly in equity; equity related instrument of companies in infrastructure sector.,4690,17.0446,Abhinav Sharma; Rupesh Patel,Tata Infrastructure Dividend Reinvest Direct Plan,6.5726,-15.9639,-1.4602,0.6423,8.23,INF277K01PP0,0.91,1095,119244
TAINFGZ-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To provide income distribution and or medium to long term capital gains by investing predominantly in equity; equity related instrument of companies in infrastructure sector.,4690,16.4528,Abhinav Sharma; Rupesh Patel,Tata Infrastructure Growth Direct Plan,6.5487,-15.9847,-1.5455,0.6079,2.94,INF277K01PQ8,0.91,1095,119243
TALSGZ-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,The investment objective is to generate returns with reasonable liquidity to the unitholders by investing in money market instruments.,6510,0.300707,Amit Somani,Tata Money Market Growth Direct Plan,6.9913,7.5573,4.8968,6.0536,8.32,INF277K01PR6,0.38,1095,119424
TAGRODZ-DP,Open Ended,Equity,Equity,AS N WHEN,5000,N,To provide income distribution and or medium to long term capital gains. The scheme will make investments in equity and equity related instruments of well researched growth oriented companies.,8370,15.3802,Rupesh Patel; Ennettee Fernandes,Tata Mid Cap Growth Fund Dividend Payout Direct Plan,15.0122,-5.7437,4.752,4.8907,11.09,INF277K01PX4,1.98,365,119177
TAGRODZ-DR,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To provide income distribution and or medium to long term capital gains. The scheme will make investments in equity and equity related instruments of well researched growth oriented companies.,8370,15.3802,Rupesh Patel; Ennettee Fernandes,Tata Mid Cap Growth Fund Dividend Reinvest Direct Plan,15.0122,-5.7437,4.752,4.8907,3.43,INF277K01PX4,1.98,365,119177
TAGROGZ-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To provide income distribution and or medium to long term capital gains. The scheme will make investments in equity and equity related instruments of well researched growth oriented companies.,8370,14.9251,Rupesh Patel; Ennettee Fernandes,Tata Mid Cap Growth Fund Growth Direct Plan,15.1478,-5.7219,5.0412,5.0713,0.89,INF277K01PY2,1.98,365,119178
490-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To provide regular income and capital appreciation by investing in fixed income securities across the yield curve.,29340,4.69357,Santosh Kamath; Kunal Agrawal,Franklin India Income Opportunities Dividend Payout Direct Plan,5.8915,-3.6064,2.7248,4.4287,5.92,INF090I01JG3,0.22,1095,118555
490-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To provide regular income and capital appreciation by investing in fixed income securities across the yield curve.,29340,4.69357,Santosh Kamath; Kunal Agrawal,Franklin India Income Opportunities Dividend Reinvest Direct Plan,5.8915,-3.6064,2.7248,4.4287,7.88,INF090I01JH1,1.3,365,118555
491-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To provide regular income and capital appreciation by investing in fixed income securities across the yield curve.,29340,1.71852,Santosh Kamath; Kunal Agrawal,Franklin India Income Opportunities Growth Direct Plan,8.6351,1.1406,6.323,7.5882,5.12,INF090I01JI9,1.3,365,118554
493-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To provide regular income and capital appreciation through a focuson corporate securities.,54800,4.66048,Santosh Kamath; Kunal Agrawal,Franklin India Credit Risk Dividend Payout Direct Plan,5.354,-8.4652,1.0598,3.549,3.97,INF090I01JJ7,1.3,365,118552
493-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To provide regular income and capital appreciation through a focuson corporate securities.,54800,4.66048,Santosh Kamath; Kunal Agrawal,Franklin India Credit Risk Dividend Reinvest Direct Plan,5.354,-8.4652,1.0598,3.549,3.71,INF090I01JK5,0.98,1095,118552
494-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To provide regular income and capital appreciation through a focuson corporate securities.,54800,2.6657,Santosh Kamath; Kunal Agrawal,Franklin India Credit Risk Growth Direct Plan,7.9525,-4.0457,4.5335,6.5729,6.82,INF090I01JL3,0.98,1095,118553
468-DP,Open Ended,Others,Equity,DIVIDEND ANNUAL,5000,Y,Seeks to generate superior risk adjusted returns to investors in line with their chosen asset allocation.,280,4.63698,Paul Parampreet,Franklin India Life Stage Fund Of Fund 50s Plus Floating Rate Dividend Payout Direct Plan,5.4492,-3.0437,1.9593,3.3824,0.62,INF090I01JM1,0.98,1095,118520
468-DR,Open Ended,Others,Equity,DIVIDEND ANNUAL,5000,Y,Seeks to generate superior risk adjusted returns to investors in line with their chosen asset allocation.,280,4.63698,Paul Parampreet,Franklin India Life Stage Fund Of Fund 50s Plus Floating Rate Dividend Reinvest Direct Plan,5.4492,-3.0437,1.9593,3.3824,6.31,INF090I01JN9,1.02,1095,118520
469-GR,Open Ended,Others,Equity,GROWTH,5000,Y,Seeks to generate superior risk adjusted returns to investors in line with their chosen asset allocation.,280,2.92145,Paul Parampreet,Franklin India Life Stage Fund Of Fund 50s Plus Floating Rate Growth Direct Plan,8.093,1.7646,5.5373,6.5197,1.74,INF090I01JO7,1.02,1095,118519
FR495-DP,Open Ended,Others,Equity,AS N WHEN,5000,Y,The Fund seeks to provide capital appreciation by investing predominantly in units of Franklin U. S. Opportunities Fund; an overseas. Franklin Templeton mutual fund; which primarily invests in securities in the United States of America,13060,17.3534,Pyari Menon,Franklin India Feeder Franklin US Opportunities Dividend Payout Direct Plan,0,10.0365,14.4822,11.0358,0.37,INF090I01JP4,1.02,1095,118550
BS52Z-DP,Open Ended,Equity,Equity,AS N WHEN,100,N,Long term growth of capital through a portfolio with a target allocation of 90% and 10% debt and money market securities,115820,16.4474,Anil Shah,Aditya Birla Sun Life Equity Dividend Payout Direct Plan,12.3287,-12.0577,1.4546,5.0865,10.97,INF209KA1LE0,0.23,1095,120565
BSAZ-DP,Open Ended,Hybrid,Equity,AS N WHEN,100,Y,The objective of the scheme is to generate long term growth of capital and current income; through a portfolio investing in equity; debt and money market securities. The secondary objective is income generation and distribution of dividend.,89440,11.5791,Mahesh Patil; Pranay Sinha; Dhaval Shah,Aditya Birla Sun Life Equity Hybrid 95 Dividend Payout Direct Plan,9.1834,-16.6109,-1.0599,2.5246,7.02,INF209KA1LH3,0.23,1095,120518
BSAZ-DR,Open Ended,Hybrid,Equity,AS N WHEN,100,Y,The objective of the scheme is to generate long term growth of capital and current income; through a portfolio investing in equity; debt and money market securities. The secondary objective is income generation and distribution of dividend.,89440,11.5791,Mahesh Patil; Pranay Sinha; Dhaval Shah,Aditya Birla Sun Life Equity Hybrid 95 Dividend Reinvest Direct Plan,9.1834,-16.6109,-1.0599,2.5246,8.32,INF209KA1LH3,0.23,1095,120518
BS249Y-GR,Open Ended,Hybrid,Equity,GROWTH,1000,Y,To provide capital appreciation and income distribution to the investors by using a blend of equity derivatives strategies; arbitrage opportunities and pure equity investments.,6510,5.95582,Satyabrata Mohanty; Lovelish Solanki; Pranay Sinha,Aditya Birla Sun Life Equity Saving Growth Direct Plan,6.7101,1.8734,4.7581,6.1271,10.31,INF209KA1TP9,0.76,1095,132995
BS249X-DP,Open Ended,Hybrid,Equity,AS N WHEN,1000,Y,To provide capital appreciation and income distribution to the investors by using a blend of equity derivatives strategies; arbitrage opportunities and pure equity investments.,6510,6.14697,Satyabrata Mohanty; Lovelish Solanki; Pranay Sinha,Aditya Birla Sun Life Equity Saving Dividend Payout Direct Plan,6.5977,1.4455,4.5909,6.0089,4.29,INF209KA1TQ7,0.99,365,132996
BS249X-DR,Open Ended,Hybrid,Equity,AS N WHEN,1000,Y,To provide capital appreciation and income distribution to the investors by using a blend of equity derivatives strategies; arbitrage opportunities and pure equity investments.,6510,6.14697,Satyabrata Mohanty; Lovelish Solanki; Pranay Sinha,Aditya Birla Sun Life Equity Saving Dividend Reinvest Direct Plan,6.5977,1.4455,4.5909,6.0089,1.75,INF209KA1TQ7,1.02,365,132996
BS249Z-DR,Open Ended,Hybrid,Equity,AS N WHEN,1000,N,To provide capital appreciation and income distribution to the investors by using a blend of equity derivatives strategies; arbitrage opportunities and pure equity investments.,6510,6.14697,Satyabrata Mohanty; Lovelish Solanki; Pranay Sinha,Aditya Birla Sun Life Equity Saving Dividend Reinvest Direct Plan,6.5977,1.4455,4.5909,6.0089,10,INF209KA1TR5,1.02,365,132996
